deicer,treatment_level,concentration,units,replicate,seed_no,length_mm,initials,notes
urea,low,1,g/L,2,15,13,MP,
urea,low,1,g/L,2,16,40,MP,
urea,low,1,g/L,2,17,30,MP,
urea,low,1,g/L,2,18,24,MP,
urea,low,1,g/L,2,19,22,MP,
urea,low,1,g/L,2,20,31,MP,
urea,low,1,g/L,3,1,32,JS,
urea,low,1,g/L,3,2,50,JS,
urea,low,1,g/L,3,3,41,JS,
urea,low,1,g/L,3,4,21,JS,
urea,low,1,g/L,3,5,25,JS,
urea,low,1,g/L,3,6,31,JS,
urea,low,1,g/L,3,7,50,JS,
urea,low,1,g/L,3,8,28,JS,
urea,low,1,g/L,3,9,27,JS,
urea,low,1,g/L,3,10,63,JS,
urea,low,1,g/L,3,11,18,JS,
urea,low,1,g/L,3,12,58,JS,
urea,low,1,g/L,3,13,31,JS,
urea,low,1,g/L,3,14,77,JS,
urea,low,1,g/L,3,15,47,JS,
urea,low,1,g/L,3,16,60,JS,
urea,low,1,g/L,3,17,42,JS,
urea,low,1,g/L,3,18,49,JS,
urea,low,1,g/L,3,19,36,JS,
urea,low,1,g/L,3,20,34,JS,
