deicer,treatment_level,concentration,units,replicate,seed_no,germination,set_up_date,check_date,check_time,initials,notes
NaCl,high,10,g/L,3,1,no_germination,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,2,no_germination,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,3,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,4,no_germination,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,5,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,6,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,7,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,8,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,9,no_germination,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,10,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,11,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,12,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,13,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,14,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,15,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,16,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,17,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,18,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,19,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,high,10,g/L,3,20,germinated,2025-03-04,2025-03-06,12:50 PM,AZ,
NaCl,low,2,g/L,1,1,germinated,2025-03-04,3/6/2025,6:00 PM,MC,all seeds germinated 
NaCl,low,2,g/L,1,2,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,3,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,4,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,5,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,6,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,7,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,8,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,9,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,10,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,11,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,12,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,13,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,14,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,15,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,16,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,17,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,18,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,19,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,1,20,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,1,germinated,2025-03-04,3/6/2025,6:00 PM,MC,all seeds germinated
NaCl,low,2,g/L,2,2,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,3,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,4,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,5,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,6,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,7,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,8,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,9,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,10,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,11,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,12,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,13,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,14,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,15,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,16,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,17,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,18,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,19,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,2,20,germinated,2025-03-04,3/6/2025,6:00 PM,MC,
NaCl,low,2,g/L,3,1,germinated,2025-03-04,2025-03-06,12:30 PM,EF,All seeds have germinated
NaCl,low,2,g/L,3,2,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,3,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,4,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,5,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,6,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,7,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,8,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,9,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,10,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,11,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,12,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,13,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,14,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,15,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,16,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,17,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,18,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,19,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,low,2,g/L,3,20,germinated,2025-03-04,2025-03-06,12:30 PM,EF,
NaCl,medium,4.5,g/L,1,1,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,2,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,3,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,4,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,5,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,6,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,7,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,8,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,9,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,10,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,11,no_germination,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,12,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,13,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,14,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,15,no_germination,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,16,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,17,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,18,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,19,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,1,20,germinated,2025-03-04,2025-03-06,12:46 PM,AZ,
NaCl,medium,4.5,g/L,2,1,germinated,2025-03-04,2025-03-06,11:09,SD,
NaCl,medium,4.5,g/L,2,2,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,3,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,4,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,5,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,6,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,7,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,8,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,9,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,10,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,11,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,12,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,13,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,14,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,15,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,16,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,17,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,18,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,19,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,2,20,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,1,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,2,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,3,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,4,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,5,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,6,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,7,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,8,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,9,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,10,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,11,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,12,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,13,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,14,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,15,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,16,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,17,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,18,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,19,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,medium,4.5,g/L,3,20,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,1,1,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,2,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,3,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,4,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,5,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,6,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,7,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,8,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,9,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,10,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,11,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,12,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,13,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,14,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,15,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,16,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,17,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,18,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,19,germinated,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,1,20,no_germination,2025-03-04,2025-03-06,12:04 PM,KV,
NaCl,trace,0.2,g/L,2,1,germinated,2025-03-04,2025-03-06,12:28 PM,EF,All seeds have germinated
NaCl,trace,0.2,g/L,2,2,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,3,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,4,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,5,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,6,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,7,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,8,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,9,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,10,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,11,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,12,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,13,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,14,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,15,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,16,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,17,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,18,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,19,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,2,20,germinated,2025-03-04,2025-03-06,12:28 PM,EF,
NaCl,trace,0.2,g/L,3,1,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,2,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,3,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,4,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,5,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,6,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,7,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,8,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,9,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,10,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,11,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,12,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,13,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,14,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,15,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,16,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,17,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,18,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,19,germinated,2025-03-04,2025-03-06,1:00,SD,
NaCl,trace,0.2,g/L,3,20,germinated,2025-03-04,2025-03-06,1:00,SD,
